211,3,46.7,484,110,30
212,3,35,631,110,40
213,3,35,638,130,40
214,3,28,767,130,50
215,3,28,778,150,50
216,3,23.3,884,130,60
217,3,23.3,896,150,60
218,3,17.5,1110,150,80
219,4,186.7,184,110,7.5
220,4,186.7,186,130,7.5
221,4,140,243,110,10
222,4,140,243,130,10
223,4,93.3,352,110,15
224,4,93.3,357,130,15
225,4,70,464,110,20
226,4,70,466,130,20
227,4,56,573,110,25
228,4,56,573,130,25
229,4,46.7,646,110,30
230,4,46.7,655,130,30
231,4,35,850,130,40
232,4,28,1023,130,50
233,4,28,1037,150,50
234,4,23.3,1195,150,60
235,5.5,186.7,253,110,7.5
236,5.5,186.7,256,130,7.5
237,5.5,140,334,110,10
238,5.5,140,334,130,10
239,5.5,93.3,484,110,15
240,5.5,93.3,490,130,15
241,5.5,70,645,130,20
242,5.5,70,645,150,20
243,5.5,56,788,130,25
244,5.5,56,788,150,25
245,5.5,46.7,900,130,30
246,5.5,46.7,934,150,30
247,5.5,35,1171,150,40
248,7.5,186.7,345,110,7.5
249,7.5,186.7,349,130,7.5
250,7.5,140,455,110,10
251,7.5,140,455,130,10
252,7.5,93.3,667,130,15
253,7.5,70,880,150,20
254,7.5,56,1074,150,25
255,11,186.7,512,150,7.5
256,11,140,675,150,10
257,11,93.3,990,150,15
258,15,186.7,698,150,7.5
259,15,140,921,150,10
